name,category,time
Andrei Crainic,Masculin,35:53
Adi Dohotaru,Masculin,36:13
Nicolae Balan,Masculin,36:19
Iuliu Grec,Masculin,36:48
Calin Vaipan,Masculin,38:10
Mihaela Prundus,Feminin,38:32
Radu Paul,Masculin,39:01
Papp Csaba,Masculin,39:01
Ovidiu Negus,Masculin,39:06
Cornel Miron,Masculin,39:27
Cristian Pop,Masculin,39:58
GABOR SZTRANYICZKI,Masculin,39:58
Mihai Ungur,Masculin,39:58
Laura Diana Popescu,Feminin,40:07
ALIN MARGINEAN,Masculin,40:45
Victor Fatu,Masculin,42:42
Zoltan Matyas,Masculin,42:57
Dan Barb,Masculin,43:14
Adriana Musca,Feminin,43:14
Grigore Bobis,Masculin,43:37
Istvan Nagy,Masculin,43:51
Mihai Pantis,Masculin,44:09
Elisei Miron,Masculin,44:13
Andrei Neagu,Masculin,44:14
Adalbert Maier,Masculin,44:52
Bogdan-Ilie Pop,Masculin,44:58
Darius Rus,Masculin,45:24
Attila Szabo,Masculin,45:25
tivadar lucian,Masculin,45:33
Istvan Elekes,Masculin,45:53
radu Bulubasa,Masculin,45:56
Klein Cnecht Julian,Masculin,46:08
Alin Popa,Masculin,46:27
Gorgan Claudiu,Masculin,46:30
Lucian Mangu,Masculin,46:44
Roxana Nagy,Feminin,46:44
Marius Serbanescu,Masculin,46:48
Mihai Popa,Masculin,46:50
Pastiu Horatiu Tatar,Masculin,46:53
CATALIN STANCIU,Masculin,46:57
Imre Bone,Masculin,47:05
Agoston Norbert,Masculin,47:09
Sorin Duma,Masculin,47:09
Ott? Gy?rgy,Masculin,47:12
Anca Toiu,Feminin,47:14
Tibor Bone,Masculin,47:15
Bogdan Chisu,Masculin,47:15
Gheorghe Tomoiaga,Masculin,47:18
Paul Parau,Masculin,47:26
Adrian Dorin Curta,Masculin,47:30
Adrian Sabou,Masculin,47:35
Dan Kiss,Masculin,47:45
Codrea Marius,Masculin,47:53
Marius Ioan Groza,Masculin,48:00
Florin Marcel Rus,Masculin,48:15
Attila Rudics,Masculin,48:21
Lorand Vassy,Masculin,48:29
Vasile-Calin Chira,Masculin,48:46
Liviu Dan Serban,Masculin,48:53
Mugur Balan,Masculin,48:53
STEFAN SALAGEAN,Masculin,49:00
aurelian Cotuna,Masculin,49:21
Razvan Enache,Masculin,49:21
Elisabeth Krol Julie,Feminin,49:22
Dragos Andrei Cozac,Masculin,49:25
Attila Magyari,Masculin,49:33
Zsolt Daradics,Masculin,49:49
romeo arthur florian,Masculin,49:51
Magh Aaron,Masculin,49:55
Kinga Pallos,Feminin,50:07
Alexandra Laura Silveira,Feminin,50:17
Imre Miko,Masculin,50:25
CALIN IFTIME,Masculin,50:49
Florin Chircu,Masculin,50:51
daniel chiorean,Masculin,51:01
Panchenko Anton,Masculin,51:10
Dorca Vasila,Masculin,51:20
Traian Zara,Masculin,51:30
Salagean Cosmin,Masculin,51:32
VAJK BENEDEK-R?POLTI,Masculin,51:55
Emese Borbely,Feminin,51:58
Ferencz Menyhart,Masculin,52:18
Cristina Enache,Feminin,52:29
Hunor N?met,Masculin,52:39
Alin GRAMA,Masculin,52:39
Razvan Rares Biris,Masculin,52:40
Attila Pethe,Masculin,52:44
Partac Constantin,Masculin,52:55
Bogdan Nadisan,Masculin,52:57
Dan Mocan,Masculin,53:10
ANDREI SZEGEDI,Masculin,53:12
Zoltan Vassy,Masculin,53:21
Bularca Ovidiu,Masculin,53:32
DENIS GAITAN,Masculin,53:33
Daniel Laslau,Masculin,53:50
Seplecan Mircea,Masculin,53:50
Tudor Crisan,Masculin,54:12
Timea Rakosi,Feminin,54:14
Rus Andra-Lucia,Feminin,54:27
Rodica-Virginia Biris,Feminin,54:29
Barna Szocs,Masculin,54:50
Kirschner Edith,Feminin,54:56
Nan Vasile,Masculin,55:00
Dorin-Serban Balog,Masculin,55:00
Maximilian Marchis,Masculin,55:04
Lucian Ioan Suciu,Masculin,55:19
Rares Barb,Masculin,55:24
Ovidiu Ciocoiu,Masculin,55:28
Ionut Serdean,Masculin,55:33
Maria Svarisciuc,Feminin,55:50
Vanetta Katrin,Feminin,56:01
Daniel Cirlugea,Masculin,56:12
Erika Beata Kilin,Feminin,56:14
Petru Sandu,Masculin,56:18
Timea Racz,Feminin,56:18
L?r Silye,Masculin,56:24
Iulia Holhos,Feminin,56:25
Mirela Stroie,Feminin,56:25
Ciprian Zaharie,Masculin,56:32
Flori Nenestean,Feminin,57:02
lucian nealcos,Masculin,57:25
Grigore Brad,Masculin,57:38
Laszlo Sebok,Masculin,57:42
Zaharia Valentin,Masculin,58:00
Popescu Roxana,Feminin,58:00
Ines Marie Schauer,Feminin,58:05
Andreea Kiss,Feminin,58:13
Sorin Popa,Masculin,58:55
gazda csilla,Feminin,58:55
Zsolt Bruno,Masculin,59:21
Anca Huniadi,Feminin,59:41
Amalia Rad,Feminin,59:45
Claudia Indreica,Feminin,59:55
Razvan Cotoi,Masculin,01:00:59
Alin Zapartan,Masculin,01:01:32
Anca Bot,Feminin,01:01:33
Andrei Crecan,Masculin,01:02:00
Alexandra Stoica Sonia,Feminin,01:02:08
Alexandru Stanciu,Masculin,01:02:09
Iulia Sinziana Bucur,Feminin,01:03:56
Camelia Petru,Feminin,01:07:05
Diana Gabriela Cazanescu,Feminin,01:18:21
Marius Stefan Leahu,Masculin,01:18:22
