Place,name,category,time
86,TEREBESI JUDITH,F,1:03:14
87,golai cristina,F,1:03:20
88,Suto Zsuzsa,F,1:03:20
89,Puscasu Maria-Cristina,F,1:03:39
90,Lidia Forgacs,F,1:03:54
91,Sirb Liana,F,1:03:54
294,Fuchila Liviu,M,1:03:59
92,Baltan Cristina,F,1:04:10
295,Ciupe Sergiu,M,1:04:14
296,Hatházi András,M,1:04:21
297,László Zoltán,M,1:04:27
298,Lazar Laurentiu,M,1:04:30
93,Barb Paula,F,1:04:40
94,Lupea Dariana,F,1:04:50
95,Horváth Eszter,F,1:04:57
299,Zsigmond László,M,1:04:57
300,Suhan Tudor,M,1:04:58
301,Costin Catalin,M,1:05:03
302,mihestean alexandru,M,1:05:05
303,Vacarciuc Robert,M,1:05:07
96,Melnic Irina,F,1:05:20
97,Miroski Esztergár Ildikó,F,1:05:38
98,Csis Ildiko,F,1:05:39
304,Cighi Florin,M,1:05:59
305,Mihut Alex,M,1:06:10
306,Huszar Norbert,M,1:06:13
307,Boldea Raul,M,1:06:19
99,Gountara Afroditi,F,1:06:36
100,Ketesdi Agota,F,1:06:48
101,Gáspár Beáta,F,1:06:48
102,Bajko Andreea,F,1:06:48
308,Damian Vlad,M,1:06:49
103,Cornea Iulia,F,1:06:58
309,Zalan Zakarias,M,1:07:14
104,Ionescu Dorina,F,1:07:26
310,SZASZ-IAKAB LORANT,M,1:08:06
311,Lucaci Iulian,M,1:08:12
105,Catinean Ramona,F,1:08:21
106,Ispas Alina-Laura,F,1:08:24
107,Torok Adel,F,1:08:50
108,Bilibok Renata,F,1:08:50
109,Faur Oana,F,1:08:51
312,Popa Ciprian,M,1:08:51
110,Somodi Eniko,F,1:09:01
111,Janos Henrietta Timea,F,1:09:04
112,Rus Ana,F,1:09:11
113,Stanca Tania,F,1:09:45
313,Haran Andrei,M,1:10:31
114,Ninaci Gabriela,F,1:10:34
115,Olah Renata,F,1:10:52
116,Centea Maria Ioana,F,1:10:52
117,Dragoste Codruta,F,1:10:53
118,Corpodean Alma,F,1:10:53
314,Mitrea Sorin,M,1:11:38
119,Cristea Adela,F,1:11:47
315,Iosif Cosmin,M,1:11:47
120,Tosa Maria,F,1:13:49
316,bochis sorin,M,1:13:51
121,Chitic Ana-Maria,F,1:18:50
122,VIDICAN ANCA-MIHAELA,F,1:19:05
123,Cenan Calina,F,1:21:57
