name,category,time
Patrik Zsoldos,Masculin,12:51
Levente Kanizsay,Masculin,13:01
Adi Dohotaru,Masculin,13:02
Aurelian Popa,Masculin,13:24
Cristian Taut,Masculin,13:54
Alexandru Vandor,Masculin,13:59
Darius Madalin Cristea,Masculin,14:13
Vlad Alexandru Mateiu,Masculin,15:10
Alan Carpenter,Masculin,15:48
Catalin - Gabriel Pascanut,Masculin,15:49
Cristina Dascal,Feminin,16:08
Cristian Catana,Masculin,16:23
Dayana Budisan,Feminin,16:26
Roxana Nagy,Feminin,17:03
Moldovan Victor,Masculin,17:09
Mircea Nutescu,Masculin,17:09
Paul-Mihai Bota,Masculin,17:19
Csaba Mrton,Masculin,17:23
Rus Alin,Masculin,17:23
Alexandra Pintea,Feminin,17:31
Vlad-Iulian Dan,Masculin,17:34
Barbu Bujor,Masculin,17:39
Istvan Nagy,Masculin,17:42
Alexandru Somlea,Masculin,17:48
Stefan Cadar,Masculin,17:49
Levente Csalai,Masculin,17:49
Imre Kovacs,Masculin,17:55
Andrei Pascu,Masculin,18:00
Radu Natanael Muntean,Masculin,18:05
Florin-Alexandru Birsan,Masculin,18:07
Adrian Lonca,Masculin,18:19
Rares Tenea,Masculin,18:20
Bogdan Baciu,Masculin,18:22
Vasile Crainic,Masculin,18:29
Marinel Balas,Masculin,18:39
Alex Ciobica,Masculin,18:39
Leonard Vasili,Masculin,18:40
Paul Ciolpan,Masculin,18:40
Bianca Komjatszegi,Feminin,18:40
Flaviu Cornel Bucur,Masculin,18:45
Paul Baciu,Masculin,18:45
Marica Marius,Masculin,18:46
Olivian Daniel Tofan,Masculin,19:00
Alexander Werner Witowscki,Masculin,19:04
Eugen Popa,Masculin,19:11
Cristi Farcasanu,Masculin,19:14
Dan - Razvan Ilies,Masculin,19:16
Adrian Pop,Masculin,19:29
Szabolcs ?ry,Masculin,19:34
Simona Salajan,Feminin,19:34
Cristian Vincze,Masculin,19:35
Vekony Szabolcs,Masculin,19:36
Bartha Alfred,Masculin,19:36
Mata Alexandru,Masculin,19:37
Dan Crisan,Masculin,19:46
Daniela Coste,Feminin,19:47
Szocs Luciana,Feminin,19:49
Imola Leonte,Feminin,19:50
Alexandrina Sanek,Feminin,19:51
Raluca Sahleanu,Feminin,19:51
Carmen Lung,Feminin,19:53
Victor Fatu,Masculin,19:57
HORATIU EUGEN NEMES,Masculin,20:09
Prichici Razvan,Masculin,20:12
Chernov Igor,Masculin,20:14
Ioan Stroia,Masculin,20:14
Ioan-Adrian Brumboiu,Masculin,20:16
Sorin Popa,Masculin,20:16
Salha Riyadh,Masculin,20:17
Istvan Fabian,Masculin,20:18
Bogdan Bogdan,Masculin,20:22
Adriana Nicoleta Pintican,Feminin,20:22
Alin Flueras,Masculin,20:23
Dorel Muresan,Masculin,20:25
Tudor Ciobotariu-Boer,Masculin,20:28
Andrei Csazar,Masculin,20:29
Paul Bordean,Masculin,20:33
Diana Vultur,Feminin,20:46
Florian Adrian,Masculin,20:48
Selegean Iulia,Feminin,20:50
Balea Bogdan,Masculin,20:51
Felecan Radu,Masculin,20:54
eduard Bucalie,Masculin,20:58
Tibor Vasvari,Masculin,21:06
Alexandra Crecan,Feminin,21:10
Marius Muresan,Masculin,21:11
Danciu Dorin,Masculin,21:13
dumuta Adrian,Masculin,21:14
RAMONA IULIANA ALEXOAE,Feminin,21:15
Emilia Hapenciuc-Baciu,Feminin,21:17
Zoltan Gereb,Masculin,21:22
Dan Pinte,Masculin,21:26
Vlad Nedelcu,Masculin,21:28
Ioana Talpau,Feminin,21:37
Cosmin Matis,Masculin,21:43
Al Hajjar Adin,Masculin,21:44
Diana Tirnovan,Feminin,21:44
Damian Pipiro,Masculin,21:48
Vasile Rusu,Masculin,21:48
Erno lenart,Masculin,21:50
Gelu Bugnaru,Masculin,21:51
Robert Kismihaly,Masculin,21:52
Calin Grebles,Masculin,21:52
Radu Mihai Boloveschi,Masculin,21:53
Ovidiu NIca,Masculin,21:54
Cioara Claudiu,Masculin,21:57
Imola Kolcsar,Feminin,21:57
Zineb Haddar,Feminin,21:57
Adrian Bercea,Masculin,21:58
erika gazda,Feminin,22:00
Ana-Maria Witowscki,Feminin,22:02
Anca Alexandru,Feminin,22:04
SILVIU OSCEPIUC,Masculin,22:06
Potinteu Claudiu,Masculin,22:06
Andrei Parv,Masculin,22:07
Nane-Gabriela Bejan,Feminin,22:07
Edith Szanto,Feminin,22:10
Tomita Militaru,Masculin,22:13
Petru Grigoras,Masculin,22:13
Simona- Roxana Gheorghita,Feminin,22:16
Alexandra Tanase,Feminin,22:19
Istvan Kudor,Masculin,22:22
Keunwoo,Masculin,22:23
Viorel-Vlad Popa,Masculin,22:24
Cristina Chiorean,Feminin,22:31
Gergo Ninacs,Masculin,22:33
Andra Hegedus,Feminin,22:33
Cucian Valer,Masculin,22:35
Pap Timea,Feminin,22:35
Daniel Kontos,Masculin,22:36
Eulolia Grigore,Feminin,22:38
Felix Radu,Masculin,22:40
LUCA-SORIN PLATON,Masculin,22:41
Ligia Rusu,Feminin,22:41
SORIN PLATON,Masculin,22:42
Faur Vlad,Masculin,22:50
Anamaria Sovre,Feminin,22:54
Alexandra Roxana Balas,Feminin,22:57
Alin Zapartan,Masculin,23:01
Lupou Marius,Masculin,23:02
Lucian Cojocaru,Masculin,23:02
Gabriel Martin,Masculin,23:05
Titus Chereches,Masculin,23:06
Valean Livia,Feminin,23:06
Aurelian Tion,Masculin,23:07
Sunzuiana Gabriela,Feminin,23:07
Iulian Pop,Masculin,23:09
Laura Muresan,Feminin,23:09
Robert Krisztian Szabo,Masculin,23:11
Pop Dorin,Masculin,23:16
Farcas Sebastian,Masculin,23:17
ramona mos,Feminin,23:17
Andreas Banu,Masculin,23:24
Sebastian Boar,Masculin,23:26
Gavril Kiss,Masculin,23:30
Tunde Koncz,Feminin,23:30
Mirabela Carnaru,Feminin,23:30
YI ZIYONG,Masculin,23:31
Calin Vasa,Masculin,23:33
Cristina Gruian,Feminin,23:33
George Echim,Masculin,23:34
Catalin Botezan,Masculin,23:35
Gabriela Grosu,Feminin,23:35
Radu Vunvulea,Masculin,23:40
Andrei Rus,Masculin,23:42
Carmen Maria Pasca,Feminin,23:44
Sorana Herta,Feminin,23:46
Bianca Lung,Feminin,23:48
B?ldea Anca,Feminin,23:48
Mirela Albert,Feminin,23:50
zoltan gyorgy,Masculin,23:53
tunde gyorgy,Feminin,23:53
Argentina Korobian,Masculin,23:54
Ramona Suciu,Feminin,23:54
Razvan Vlas,Masculin,23:55
Gyongyi Lenart,Feminin,23:57
Alina Simuleac,Feminin,23:58
Vlad Mera,Masculin,24:00
Mihaela Bucurel,Feminin,24:01
Norbert Hunyadi,Masculin,24:06
Mihaela Maxim,Feminin,24:12
Bernadett Speth,Feminin,24:13
NICOLAE OVIDIU PAL,Masculin,24:14
?gota Kovcs,Feminin,24:19
Paula Chescu,Feminin,24:20
