name,category,time
Andrei Crainic,Masculin,34:9.45
Artur Miclos,Masculin,36:11.32
Mihaela Botezan,Feminin,40:26.94
Vasile Fechete,Masculin,40:33.36
Ionela-Viorica Dobrita,Feminin,40:59.48
Horatiu Neamtu,Masculin,41:31.26
BOGDAN DEMIAN,Masculin,42:7.44
Marius Mihai Iorga,Masculin,42:12.23
Horatiu Tatar Pastiu,Masculin,42:22.33
Bogdan Criveanu,Masculin,42:38.93
Viorel Timis,Masculin,42:40.35
Radu Podar,Masculin,42:52.81
Calin Muresan,Masculin,42:56.34
imre Bone,Masculin,43:12.13
ADRIAN VIOREL SOFRONIUK,Masculin,43:27.73
Cristian-Ioan Dumitru,Masculin,43:43.21
Tudor Cristian,Masculin,43:43.77
Alin Voicu,Masculin,43:54.19
Iona Hrapsa,Masculin,43:57.53
S Sipos,Masculin,44:1.57
Octavian Vladut,Masculin,44:3.59
Dan Barb,Masculin,44:18.15
Valeria Alina Rusu,Feminin,44:30.89
Adrian Cocean,Masculin,44:49.89
Mihail-Victor Drobota,Masculin,44:52.31
George Iancu,Masculin,44:55.11
Radu Bulubasa,Masculin,45:11.79
Andrei Mesesan,Masculin,45:15.01
Attila Szabo,Masculin,45:20.66
Calin Timicer,Masculin,45:20.66
Robert Vasilut,Masculin,45:24.69
Bogdan Mitea,Masculin,45:33.79
Ionita Tamas,Masculin,45:59.43
Alexandru Boboia,Masculin,46:4.52
Calin Ortan,Masculin,46:12.82
Dragos Lunca,Masculin,46:14.58
Ciprian Docolina,Masculin,46:25.95
Valerian Achimescu,Masculin,46:39.79
Zsolt Iachmanovski,Masculin,46:47.3
Constantin Neagoe,Masculin,46:47.84
Ionut Bratu,Masculin,46:50.14
ANDRAS JENO GASPAR,Masculin,46:51.78
Istvan Finta,Masculin,46:54.24
Nyari Rudolf,Masculin,47:3.54
Sergiu Barbu,Masculin,47:8.5
Bernold Deri,Masculin,47:9.12
Larisa Buchiurca,Feminin,47:9.24
Dan B,Masculin,47:11.66
Andreea Onetiu,Feminin,47:11.84
Tiham J,Masculin,47:26.19
Daniel Petrescu,Masculin,47:26.35
Bogdan Iusco,Masculin,47:30.98
Nistor Valentin,Masculin,47:36.98
Attila Colaci,Masculin,47:42.6
Marius Farca?,Masculin,47:46.57
Attila-Jozsef Frast,Masculin,47:49.61
Tamas Deak,Masculin,47:51.83
Lukacs Laszlo,Masculin,48:2.74
Antoniu Damian,Masculin,48:3.14
Radu Bogdan,Masculin,48:13.52
Roland Szocs,Masculin,48:18.18
Andrei Costea,Masculin,48:19.02
Bogya Yana,Feminin,48:20.85
Alexandru Marin,Masculin,48:21.5
Zsigmond Majai,Masculin,48:25
Constantin Partac,Masculin,48:27.39
Mihai Savin,Masculin,48:42.41
David Diaconu,Masculin,48:44.68
Felicia Muresan,Feminin,48:46.82
Mauro Garcia Nieto,Masculin,48:49.99
Mihai-Traian Babau,Masculin,48:54.45
Cristian Apetri,Masculin,49:1.67
Andrei Sancu,Masculin,49:2.07
Cristian stefan Oltean,Masculin,49:11.05
Dinu Sorin Bodea,Masculin,49:13.31
Zsolt Mihalydeakpal,Masculin,49:15.23
Radu-Alexandru Cosma,Masculin,49:24.37
Traian Silviu Haran,Masculin,49:25.57
Dan Stepa,Masculin,49:26.86
SAMI BENKARA,Masculin,49:43.57
Radu-Mircea Ilea,Masculin,49:46.55
Sergiu Bodea,Masculin,49:46.55
Raul Giurgiu,Masculin,49:55.53
Daniel Mihai,Masculin,50:7.67
Timea Racz,Feminin,50:9.93
Adrian Muntean,Masculin,50:10.21
Zsolt Sallai,Masculin,50:24.89
Jozsef Szilagyi,Masculin,50:29.14
Calin Andrea,Masculin,50:29.21
Alin Suciu,Masculin,50:36.78
Andreea Lisa Maria Echim,Feminin,50:40.77
ERIKA-TIMEA NAGY,Feminin,50:42.71
Ionut Doci,Masculin,50:49.77
